,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
0,1547978280000,0.008891,0.008894,0.008885,0.008894,37.03,1547978339999,0.32914536,15,33.03,0.29359252,0
1,1547978340000,0.008896,0.008896,0.008891,0.008891,13.37,1547978399999,0.11890766,5,9.81,0.08725274,0
2,1547978400000,0.008891,0.008894,0.008891,0.008894,50.23,1547978459999,0.44662623,9,13.13,0.11677013,0
3,1547978460000,0.008899,0.008899,0.008887,0.008892,230.79,1547978519999,2.05253733,22,47.09,0.41879863,0
4,1547978520000,0.008893,0.008906,0.008885,0.008887,152.94,1547978579999,1.35972065,18,50.99,0.45379251,0
5,1547978580000,0.008883,0.008887,0.008882,0.008885,35.07,1547978639999,0.31159125,6,8.08,0.0717908,0
6,1547978640000,0.008888,0.008893,0.008885,0.008885,177.95,1547978699999,1.58206929,11,11.94,0.10611836,0
7,1547978700000,0.008885,0.008887,0.008879,0.008883,88.8,1547978759999,0.78894046,30,43.5,0.38653954,0
8,1547978760000,0.008881,0.008894,0.008879,0.008894,105.03,1547978819999,0.93331988,14,81.88,0.72767587,0
9,1547978820000,0.008896,0.008905,0.008889,0.008901,58.57,1547978879999,0.52127092,10,45.2,0.40223433,0
10,1547978880000,0.008898,0.008902,0.008896,0.008896,28.24,1547978939999,0.25133196,8,25.38,0.2258894,0
11,1547978940000,0.008894,0.0089,0.008869,0.008884,713.26,1547978999999,6.33173503,46,27.99,0.24891246,0
12,1547979000000,0.008872,0.008886,0.008862,0.008882,344.6,1547979059999,3.05654139,31,10.34,0.09184885,0
13,1547979060000,0.008884,0.008885,0.008874,0.008876,80.93,1547979119999,0.71848069,10,43.3,0.38444595,0
14,1547979120000,0.00888,0.008883,0.008876,0.008878,40.34,1547979179999,0.35818003,10,9.1,0.0808089,0
15,1547979180000,0.008878,0.008881,0.008878,0.008881,20.32,1547979239999,0.18042221,7,12.43,0.11037073,0
16,1547979240000,0.008879,0.00888,0.008877,0.008879,37.92,1547979299999,0.33667139,11,18.36,0.16301956,0
17,1547979300000,0.00888,0.008883,0.008871,0.008879,73.72,1547979359999,0.65467001,11,54.5,0.48403005,0
18,1547979360000,0.008872,0.008878,0.008872,0.008872,30.47,1547979419999,0.27045703,8,3.5,0.0310666,0
19,1547979420000,0.008872,0.008877,0.008871,0.008872,19.02,1547979479999,0.16874992,5,1.12,0.00994224,0
20,1547979480000,0.008874,0.008875,0.008868,0.008869,33.54,1547979539999,0.29757882,9,7.86,0.06974964,0
21,1547979540000,0.008874,0.008882,0.008873,0.008874,132.99,1547979599999,1.18038669,40,85.65,0.76021317,0
22,1547979600000,0.008875,0.008877,0.008871,0.008872,110.2,1547979659999,0.97782972,24,39.62,0.35160872,0
23,1547979660000,0.008872,0.008879,0.008871,0.008878,79.85,1547979719999,0.70860974,20,20.94,0.18585909,0
